Pagina,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Frequenza di rimbalzo,% uscita
/,1788,1138,00:01:43,1110,"38,56%","55,43%"
/ita/,1326,868,00:00:52,673,"45,10%","44,72%"
/eng/,790,642,00:00:51,589,"62,48%","63,92%"
/2017/07/4-useful-composer-plugins-for-your-workflow/,690,634,00:03:52,631,"87,36%","89,71%"
/2014/08/differenze-distro-linux-windowsosx/,677,614,00:05:10,608,"90,62%","88,92%"
/2018/01/scaricare-dal-sito-della-rai-dplay-mediaset-linux/,415,352,00:03:35,346,"78,90%","82,41%"
/2017/03/le-mie-estensioni-su-firefox-e-thunderbird-2017/,355,275,00:01:38,247,"76,92%","70,70%"
/2016/11/telegram-cambiato-la-mia-vita/,331,309,00:03:23,297,"89,90%","86,71%"
/chi-sono/,326,253,00:01:18,23,"47,83%","34,05%"
/articoli/,323,248,00:00:27,60,"52,46%","29,10%"
/2014/03/perche-usare-owncloud-2-anni-dopo/,309,286,00:03:07,277,"86,28%","87,06%"
/about/,292,218,00:01:04,34,"70,59%","34,25%"
/2013/03/wordpress-filtro-post-ajax-categorie-checkbox/,286,262,00:09:02,262,"92,37%","91,26%"
/2015/03/le-mie-estensioni-su-firefox-e-thunderbird/,262,240,00:03:11,232,"84,48%","84,35%"
/2012/11/simple-invoice-manager-e-tra-noi/,257,238,00:01:08,237,"85,23%","83,66%"
/2017/08/to-send-message-to-slack-with-bash/,212,171,00:02:57,168,"50,89%","79,72%"
/2016/03/le-mie-estensioni-su-firefox-e-thunderbird-2016/,208,171,00:03:01,159,"67,92%","71,63%"
/2015/01/perche-python-non-mi-piace-ma-continuo-ad-usarlo/,204,190,00:02:36,190,"88,95%","88,24%"
/2014/09/javascript-per-principianti-spiegato/,203,170,00:02:12,169,"68,05%","81,77%"
/2018/01/siti-italiani-salvano-le-password-inviano-chiaro/,203,161,00:03:15,147,"66,67%","69,46%"
/en/2016/10/wordpress-plugin-boilerplate-powered-2-0-0/,189,154,00:03:05,149,"76,51%","77,78%"
/2017/03/my-extensions-firefox-and-thunderbird-2017/,183,163,00:04:50,161,"83,85%","86,34%"
/2017/03/find-to-crash-facebook-for-android-app-browser/,171,162,00:03:26,158,"89,87%","92,40%"
/2014/01/aggiornare-firefox-os-su-alcatel-one-touch-fire/,167,140,00:05:48,140,"79,29%","82,04%"
/guest-post/,151,129,00:00:23,11,"63,64%","24,50%"
/mozillian/,151,114,00:00:33,8,"87,50%","35,10%"
/2017/03/wpbp-2-0-5/,150,125,00:00:36,120,"81,67%","79,33%"
/2017/08/sha2017-io-cero/,148,131,00:06:06,127,"84,25%","83,78%"
/2014/06/volpe-panda/,142,136,00:03:53,136,"94,85%","95,07%"
/2018/03/my-extensions-firefox-and-thunderbird-2018/,142,121,00:03:35,121,"82,64%","85,21%"
/2015/07/phpdoc-rules-for-php-codesnifferphp-code-beautifier-fixer/,127,107,00:02:58,107,"85,05%","84,25%"
/2018/03/le-mie-estensioni-per-firefox-e-thunderbird-2018/,127,101,00:01:58,97,"77,32%","75,59%"
/2016/12/remove-facebook-direct-links-with-browser-extension/,123,106,00:02:39,97,"87,63%","83,74%"
/2015/08/wordpress-and-nonce-for-guest-user/,120,109,00:05:49,109,"76,15%","89,17%"
/en/about/,118,97,00:00:39,7,"71,43%","39,83%"
/2015/01/perche-usare-sassless/,117,103,00:06:17,103,"65,38%","82,91%"
/2014/10/come-traduttore-per-progetti-open-source/,116,107,00:03:19,107,"92,52%","92,24%"
/2016/10/wordpress-plugin-boilerplate-powered-2-0-0/,112,92,00:04:54,91,"73,63%","77,68%"
